Date,Matched Keywords,User,Source,Followers,Friends,Favorite,Tweet,predTweet,CleanedTweet,Prediction
8/4/2020,Biden,YourSiteingGoog,IFTTT,84,198,0,"Breaking #FoxNews Alert : Bien scraps plans to travel to Milwaukee for nomination acceptance, citing coronavirus concerns",breaking foxnews alert biden scraps plans travel milwaukee for nomination acceptance citing coronavirus concerns,"['break', 'foxnew', 'alert', 'bien', 'scrap', 'plan', 'travel', 'milwauke', 'nomin', 'accept', 'cite', 'coronaviru', 'concern']",Positive
8/4/2020,Trump,rbenton75nc,Twitter for Android,15,87,0,@JRubinBlogger Isn't the doctor who gave Trump the test the same doctor that  he tried to put as head of the A? Suid pro Quo?,not the doctor who gave trump the test the same doctor that he tried put as head of the va quid professional quo,"['doctor', 'trump', 'test', 'doctor', 'tri', 'head', 'quid', 'profession']",Neutral
8/4/2020,Trump,Mrb18101,Twitter for iPhone,72,134,0,"@WindsorMann The only friends Trump has had his entire life are they ones that can only be bought with money.

Trump would make terrible friend.",the only friends trump has had his entire life are they ones that can only be bought with money trump would make terrible friend,"['friend', 'trump', 'entir', 'life', 'one', 'bought', 'money', 'trump', 'would', 'make', 'terribl', 'friend']",Positive
8/4/2020,Trump,mermansteve,Twitter Web App,5232,5664,0,Trump’s pick to manage public lands has four-decade history of “overt racism” toward Native people http://t.co/yflltSKcyV by @AlleenBrown,trumps pick manage public lands has fourdecade history of overt racism toward native people by,"['trump', 'pick', 'manag', 'public', 'land', 'fourdecad', 'histori', 'overt', 'racism', 'toward', 'nativ', 'peopl']",Negative
8/4/2020,Trump,biospherian,Twitter Web App,26,167,0,Because Trump is an asshole: http://t.co/Is5rkXYBm9,because trump an asshole,"['trump', 'asshol']",Neutral
8/4/2020,Biden,ccabildo,Twitter Web App,48,148,0,"@politico Bien Asks Black Reporter If He’s A Sunkie On Cocaine.
http://t.co/by2RaUbjdP",biden asks black reporter if hes junkie cocaine,"['bien', 'ask', 'black', 'report', 'junki', 'cocain']",Neutral
8/4/2020,Trump,inselratte,Twitter for Android,6454,6454,0,"@RonConnolly9 #Trump the sort of president who failed his oh, so hard, cognitive test because he couldn't answer the question who is the president?",trump the sort of president who failed his oh so hard cognitive test because he could not answer the who the president,"['trump', 'sort', 'presid', 'fail', 'hard', 'cognit', 'test', 'could', 'answer', 'question', 'presid']",Negative
8/4/2020,Trump,LaTortuKawoq,Twitter for iPhone,687,1462,0,"Trump and the OP are currently one of the most dangerous criminal organizations on earth,  #ItIsWhatItIs.

Let’s #VoteBlueToEndThisNightmare",trump and the gop are currently one of the most dangerous criminal organizations earth itiswhatitis lets votebluetoendthisnightmare,"['trump', 'current', 'danger', 'crimin', 'organ', 'earth', 'itiswhat', 'let', 'votebluetoendthisnightmar']",Negative
8/4/2020,Trump,65Houston,Twitter for Android,421,587,0,So if Trump cant use the white house grounds how about the park across the street with the white house in the back ground?  The Lincoln moment? Somewhere close.  Keep the fire extinguishers near by for Pelopi when she erupts,so if trump cant the white house grounds how about the park across the street with the white house in the back ground the lincoln moument somewhere close keep the fire extinguishers near by for pelosi when she erupts,"['trump', 'cant', 'white', 'hous', 'ground', 'park', 'across', 'street', 'white', 'hous', 'back', 'ground', 'lincoln', 'moment', 'somewher', 'close', 'keep', 'fire', 'extinguish', 'near', 'pelosi', 'erupt']",Negative
8/4/2020,Biden,madisondotcom,SocialNewsDesk,36216,7015,0,"Vice President Joe Bien and other speakers won't be heading to Wisconsin for the NC later this month, Democratic organizers announced Wednesday. http://t.co/mcyF0kit3l",vice president joe biden and other speakers will not be heading wisconsin for the dnc later this month democratic organizers announced wednesday,"['vice', 'presid', 'bien', 'speaker', 'head', 'wisconsin', 'later', 'month', 'democrat', 'organ', 'announc', 'wednesday']",Neutral
8/4/2020,Biden,UberNaffa,Twitter for Android,816,697,0,"@MarcACaputo Does anyone care about Bien eulogising his friend and mentor, Strom Thurmond? I've got it, communism bad, but segregationist, white supremacy and racism is ok...? Awesome.",does anyone care about biden eulogising his friend and mentor strom thurmond have got it communism bad but segregationism white supremacy and racism ok awesome,"['anyon', 'care', 'bien', 'eulogis', 'friend', 'mentor', 'strom', 'thurmond', 'commun', 'segregationist', 'white', 'supremaci', 'racism', 'awesom']",Positive
8/4/2020,Trump,usatodaytech,SocialNewsDesk,182984,64,0,The app works almost identically to TikTok and comes as the Trump administration moves to ban TikTok in the U.S. http://t.co/ViXcy1q9Fe,the application works almost identically tiktok and comes as the trump administration moves ban tiktok in the,"['applic', 'work', 'almost', 'ident', 'tiktok', 'come', 'trump', 'administr', 'move', 'tiktok']",Negative
